City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
573,Kailua,US,77.0,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
574,Gwadar,PK,63.81,clear sky,25.1216,62.3254,Sadaf Resort
578,Kaduqli,SD,56.52,overcast clouds,11.0167,29.7167,فندق الله جابو
583,Palasa,IN,69.24,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
585,Codrington,AU,61.11,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
587,Ulladulla,AU,77.0,broken clouds,-35.35,150.4667,Sandpiper Motel
589,Del Rio,US,68.0,clear sky,29.3627,-100.8968,Holiday Inn Express & Suites del Rio
594,Bend,US,41.0,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
595,Ghanzi,BW,67.26,light rain,-21.5667,21.7833,Ghanzi Farmhouse
596,Broken Hill,AU,69.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
597,Sao Bartolomeu De Messines,PT,51.8,scattered clouds,37.2602,-8.2867,Casa do Adro
598,Miyako,JP,41.18,broken clouds,39.6367,141.9525,Hotel Route Inn Miyako
603,Yacuiba,BO,70.27,clear sky,-22.038,-63.6797,Hotel Monumental
606,Oistins,BB,77.13,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
611,Hoquiam,US,46.4,overcast clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
613,Dabat,ET,42.66,clear sky,12.9842,37.765,Haymanot hotel
618,Mormugao,IN,72.84,clear sky,15.4,73.8,Coconut Creek Resort
620,Ierapetra,GR,57.0,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
623,Komsomolskiy,UZ,41.0,haze,40.4272,71.7189,Ikathouse
625,Theodoriana,GR,42.01,overcast clouds,39.4356,21.21,Βεντίστας Παναγιώτης
626,Cheney,US,42.8,scattered clouds,47.4874,-117.5758,Holiday Inn Express & Suites Cheney
627,San Miguel,SV,73.74,clear sky,13.4833,-88.1833,Excalibur
