City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Antofagasta,CL,-23.65,-70.4,75.0,53,0,11.5,clear sky
155,Jamai,IN,22.2,78.5833,57.42,34,0,5.48,clear sky
156,Kupang,ID,-10.1667,123.5833,79.45,82,100,6.4,overcast clouds
157,Paita,PE,-5.0892,-81.1144,91.4,46,20,13.8,few clouds
158,Durban,ZA,-29.8579,31.0292,79.0,83,75,5.75,broken clouds
159,Xining,CN,36.6167,101.7667,25.97,57,0,2.39,clear sky
160,Yanam,IN,16.7333,82.2167,69.58,83,19,4.05,few clouds
161,Mezen,RU,65.8522,44.24,-18.29,88,97,8.05,overcast clouds
162,Labelle,US,26.7617,-81.4384,80.6,88,90,10.36,light rain
163,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,91.22,53,96,5.03,overcast clouds
164,Half Moon Bay,US,37.4636,-122.4286,54.0,82,1,3.96,clear sky
165,Nemuro,JP,43.3236,145.575,14.99,88,78,11.81,broken clouds
166,Alyangula,AU,-13.8483,136.4192,80.6,83,90,12.66,overcast clouds
167,Bambari,CF,5.768,20.6757,85.24,14,13,4.18,few clouds
168,Necochea,AR,-38.5473,-58.7368,60.01,93,85,18.84,overcast clouds
169,Sao Filipe,CV,14.8961,-24.4956,71.04,69,74,8.81,broken clouds
170,Qaanaaq,GL,77.484,-69.3632,11.08,87,99,4.68,overcast clouds
171,Havre-Saint-Pierre,CA,50.2334,-63.5986,23.0,68,1,28.77,clear sky
172,Mahebourg,MU,-20.4081,57.7,80.6,74,20,10.36,light rain
173,Shelburne,CA,44.0787,-80.2041,18.0,75,80,12.82,broken clouds
174,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,77,75,14.97,broken clouds
175,Torbay,CA,47.6666,-52.7314,34.0,55,20,36.82,few clouds
176,Bukachacha,RU,52.9833,116.9167,-14.3,85,57,1.54,broken clouds
177,Capitao Poco,BR,-1.7464,-47.0594,87.85,62,67,6.38,broken clouds
178,Mende,FR,44.6667,3.5,28.06,99,27,6.46,scattered clouds
179,Saint-Georges,GD,12.0564,-61.7485,84.2,65,20,23.02,few clouds
180,Geraldton,AU,-28.7667,114.6,68.0,83,40,10.36,scattered clouds
181,Cairns,AU,-16.9167,145.7667,80.6,94,75,4.63,broken clouds
182,Sanandaj,IR,35.3144,46.9923,43.77,68,13,3.4,few clouds
183,Ucluelet,CA,48.9329,-125.5528,36.0,100,20,15.43,few clouds
